,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2464696703707480206,False,400,,,,https://www.instagram.com/p/CI0XJfvj4CO/,1,Comienza la cuenta atrás para las vacaciones navideñas. ¡Mucho ánimo con las últimas clases y trabajos! 😊✨,2020-12-15 12:19:24,1
2611075235582289650,False,604,,,,https://www.instagram.com/p/CQ8Zxe6s6by/,1,"¡Feliz comienzo de semana desde el Edificio Multiusos I+D+i de la Universidad de Salamanca! Este edificio se encuentra en el centro de Salamanca y en él se hallan multitud de servicios biosanitarios, nanotecnológicos, grupos de investigación o servicios como el de Producción e Innovación Digital. ⚗️🧬🖥",2021-07-05 11:27:25,1
2600963145024236219,False,614,,,,https://www.instagram.com/p/CQYejMtDWq7/,1,¡Damos la bienvenida al #verano desde el Edificio Trilingüe! 🤗 🌞,2021-06-21 12:36:30,3
2521250644800462566,False,1833,,,,https://www.instagram.com/p/CL9SBpxDl7m/,1,"""Agranda la puerta, Padre, porque no puedo pasar. La hiciste para los niños, yo he crecido, a mi pesar. Si no me agrandas la puerta, achícame, por piedad; vuélveme a la edad aquella en que vivir es soñar."" (Miguel de Unamuno)",2021-03-03 13:01:59,16
2424111147772560633,False,1369,,,,https://www.instagram.com/p/CGkLD7TDET5/,1,El otoño va dejando nuevas estampas y el crujir de las hojas secas bajo los zapatos. 🍂🍁#SigamosSiendoResponsables en nuestro día a día en la facultad o en nuestros paseos por la ciudad. #YoNoArriesgoMiFuturo.,2020-10-20 12:23:09,8
2465380083008778436,False,637,,,,https://www.instagram.com/p/CI2yh-UD7DE/,1,"Nuria Mateos García (@nurimateos), antigua estudiante del Grado en Ingeniería Informática en Sistemas de Información y del Máster en Sistemas Inteligentes de la Universidad de Salamanca, ha sido reconocida como uno de los mejores expedientes académicos de mujeres en carreras #STEM en los Premios #WONNOW 2020 (Women in Science and technology awards); premios a la excelencia académica femenina en ciencia y tecnología convocados por @CaixaBank y @Microsoft_espana para galardonar a las mejores estudiantes de grados universitarios técnicos de España. 
Nuria manifiesta sentirse “muy agradecida por recibir este premio otorgado por dos grandes empresas como son CaixaBank y Microsoft”. Un premio que “supone una recompensa a todo el esfuerzo realizado durante todos mis años académicos en la Universidad de Salamanca, en la que también estuve trabajando y desarrollando proyectos de realidad virtual inmersiva”, destaca.
Además, señala que gracias al galardón tendrá la oportunidad de seguir trabajando en la misma línea que desarrollaba en el Máster ya que “actualmente estoy en un proyecto de detección de fraude mediante algoritmos de Deep Learning en el departamento de Auditoría continua de CaixaBank, en Barcelona”.",2020-12-16 10:57:09,8
2460359744348271955,False,568,,,,https://www.instagram.com/p/CIk9CbljLVT/,1,Comenzamos la semana desde las alturas. 🐦🤗,2020-12-09 12:42:38,4
2525602711555890115,False,460,,,,https://www.instagram.com/p/CMMvkjyDVvD/,1,"¿#SabíasQué la escalera del Edificio Histórico de la Universidad de Salamanca guarda una interesante simbología? 

Construida en el siglo XVI en estilo renacentista, se pueden distinguir en ella tres tramos decorados que representan la juventud, madurez y senectud del ser humano, así como los riesgos a los que está expuesto a modo de advertencia para todo aquél que se aventura a ascenderla. 

El primer tramo representa la época juvenil. Alrededor de una dama, unos juglares bailan con cintas y cascabeles en pies y manos. Es la Danza morisca, tema muy conocido y representado en numerosos grabados.",2021-03-09 13:08:46,7
2390760310553911886,False,302,,,,https://www.instagram.com/p/CEtr9XtqyJO/,1,¿Cómo actuar si tienes síntomas o has estado en contacto con una persona covid positiva? Debes autoaislarte y no acudir a la Universidad. Es fundamental que tengas actualizada tu tarjeta sanitaria y un centro de salud de referencia. ¡#SigamosSiendoResponsables!,2020-09-04 12:00:59,2
2565458875223335159,False,660,,,,https://www.instagram.com/p/COaV0Evj2D3/,1,"Esta es parte de la biblioteca personal de Miguel de Unamuno que fue donada en vida a la Universidad de Salamanca; cerca de 6000 volúmenes custodiados por @casamuseounamuno . Este espacio se encuentra en la antigua casa rectoral, junto al Edificio Histórico de la Universidad de Salamanca. 🖋📜",2021-05-03 12:55:51,3
