,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Introducing ABLE X,<Post Cbxie07OgOq>,1715,72,"['ableasyouare', 'ableclothing']",31/03/22,"Introducing ABLE X Karla Reed. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
What do you get when you partner a fashion brand on a journey to body inclusivity with a woman whose passion is to help women find confidence in their own personal style? A leather belt bag made to fit women in more sizes. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
""It is a dream come true to be partnering with ABLE to bring you this one of a kind convertible belt bag. Belt bags have been a signature piece in my personal style for years. I knew I wanted to create a highly functional bag but most importantly, a beautiful bag that could be worn by more women in more sizes. It's a hug in the form of a leather bag, from me, Karla Reed.""
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@karlareed
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",709,"[{'text': 'Beautiful job, @karlareed!! So proud of you, friend 👏🏼✨', 'length': 55}, {'text': 'Congratulations, @karlareed! 🎉', 'length': 30}, {'text': 'I’m so proud to carry and wear this bag. Thank you @able and @karlareed for such a thoughtful beautiful piece.', 'length': 110}, {'text': 'We love that bag 😍😍', 'length': 19}, {'text': 'Karla is an amazing stylist. Congrats on the belt bag. The mauve/taupe color is awesome.', 'length': 88}, {'text': 'Yay! Just ordered mine in Whiskey 😍', 'length': 35}, {'text': 'This is such a beautiful partnership! @karlareed is lovely and so is her adorable belt bag!', 'length': 91}, {'text': 'Belt bags = A love language ❤️', 'length': 30}, {'text': 'You are so deserving @karlareed #ableasyouare', 'length': 45}, {'text': 'Absolutely in LOVE with this dress and bag combo! 😍', 'length': 51}, {'text': 'So so excited and proud, Karla!!! They are truly perfection 😍😍😍', 'length': 63}, {'text': 'I appreciate the thought behind this but I would push back against saying ""for everyone/every size"" since that\'s not actually true.', 'length': 131}, {'text': 'The perfect combo all around😍👏', 'length': 30}, {'text': 'So proud of this one!!! 👏🏼👏🏼👏🏼', 'length': 30}, {'text': 'Congratulations @karlareed !!! Now I just need to decide what color to get 🤔', 'length': 76}, {'text': 'Beautiful! Congrats @karlareed 🙌', 'length': 32}, {'text': 'Sooo excited about this Karla!!!!', 'length': 33}, {'text': 'You are amazing', 'length': 15}, {'text': 'Ah amazing!!!! It’s beautiful Karla- congratulations 👏', 'length': 54}, {'text': 'so fantastic!', 'length': 13}, {'text': 'I love this bag and love @karlareed. A complete match made in heaven. I would say, I have my questions about the 60” bag fitting every woman but I’m excited to see it on the women that do purchase. ❤️', 'length': 200}, {'text': 'I saw @dressing_dawn share your new belt bag today and I had to pop over to tell you that I love it! Beautiful!', 'length': 111}, {'text': 'Bravo @karlareed 🎉🎉🎉I am so thrilled for you & this genius product (with an amazing brand)', 'length': 90}, {'text': 'KARLAAAAA love it 😍 @karlareed', 'length': 30}, {'text': 'I’m so excited for this! @stephktop whiskey color?', 'length': 50}, {'text': 'Love  @karlareed  the cutest!', 'length': 29}, {'text': '@oh.for.the.love not just for Disneyland…your new everyday staple!', 'length': 66}, {'text': 'Congratulations @karlareed. The bag is beautiful. You did a great job❤️', 'length': 71}, {'text': '😍😍😍 this is awesome! Congratulations @karlareed', 'length': 47}, {'text': 'I love it! Congratulations @karlareed 💕', 'length': 39}, {'text': 'Really beautiful! Congratulations!! ❤️❤️', 'length': 40}, {'text': 'She is the best!!!', 'length': 18}, {'text': 'I need one 🔥', 'length': 12}, {'text': 'This is amazing ❤️ congrats!!', 'length': 29}, {'text': 'YES KARLA 🔥😍❤️', 'length': 14}, {'text': 'So beautiful!!', 'length': 14}, {'text': 'This is awesome!!! 👏👏', 'length': 21}, {'text': 'So beautiful!', 'length': 13}, {'text': 'Congratulations! I find your style and you (!) to be so inspiring!', 'length': 66}, {'text': 'Just ordered the belt bag in cognac! So excited! ❤️', 'length': 51}, {'text': 'What a gorgeous bag! ❤️', 'length': 23}, {'text': 'So excited for you @karlareed!!!!', 'length': 33}, {'text': 'So excited for you, my friend! 👏❤️', 'length': 34}, {'text': '@karlareed  this is awesome! Congratulations!', 'length': 45}, {'text': 'So exciting! Congrats, @karlareed! I need to get myself a belt bag! :))', 'length': 71}, {'text': 'I wish I could buy this but that magnet is too close to my pacemaker!!', 'length': 70}, {'text': 'Such a great piece!', 'length': 19}, {'text': 'So good and well deserved. Happy for you!!', 'length': 42}]"
Finding the calm,<Post Cbv9vFXO8Qi>,132,3,"['ableasyouare', 'ableclothing']",31/03/22,"Finding the calm in the chaos.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@sav.ault
#ABLEasyouare #ableclothing",78,"[{'text': '💓', 'length': 1}, {'text': 'Beautiful! Loving that pink 💗', 'length': 29}]"
See for yourself.,<Post CbsOQbwOU6H>,99,0,"['ableasyouare', 'ableclothing']",29/03/22,"See for yourself.

#ABLEasyouare #ableclothing",46,None
Just a friendly,<Post Cbqf1aiOBzg>,176,3,"['ableasyouare', 'ableasyouare', 'ableclothing']",28/03/22,"Just a friendly reminder that you look cute and confident today because you are #ABLEasyouare.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@leahtheodosis
#ABLEasyouare #ableclothing",147,"[{'text': '😍😍😍', 'length': 3}, {'text': 'Yes to the caption 🙌', 'length': 20}]"
Go to leather,<Post Cbpsea5Oiyk>,2251,21,"['ableasyouare', 'ableclothing']",28/03/22,"Go to leather for wherever you go.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@everyday.allyce
@rachelrdurham_ 
@sav.ault
@byjessicawong
@themoptop
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",152,"[{'text': 'LOVE this bag 😍', 'length': 15}, {'text': 'Hands down my all time fav bag!!', 'length': 32}, {'text': '💓💓💓', 'length': 3}, {'text': 'Gorgeous!', 'length': 9}, {'text': 'The best design! Those pockets are it', 'length': 37}, {'text': 'My favorite bag! It goes on every trip with me.', 'length': 47}, {'text': '😍😍😍', 'length': 3}, {'text': 'The best bag!!!!', 'length': 16}, {'text': '😍😍😍', 'length': 3}, {'text': '😍😍', 'length': 2}, {'text': '😍', 'length': 1}, {'text': 'Love my able tote', 'length': 17}, {'text': 'Love every piece I have!', 'length': 24}, {'text': '@tamcupples 😍😍😍 is this the bag you have?', 'length': 41}, {'text': '@sav.ault and @rachelrdurham_ in a post together? ♥️♥️♥️♥️', 'length': 58}, {'text': '@emilyealder is this the one you have?', 'length': 38}, {'text': '@jademetz 😍 this would be perfect for you !', 'length': 43}]"
🎨 We're going,<Post CboTwMZji6W>,129,3,"['ableasyouare', 'ableclothing']",28/03/22,"🎨 We're going Behind the Design with our Fashion and Design Director, Whitney, on what makes our tees and tanks so comfy. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Music by @ninjoi_ - Give it To Me via @hellothematic
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",223,"[{'text': 'Such a beautiful fabric 😍', 'length': 25}, {'text': 'love these gorgeous materials and inclusive sizing 😍😍', 'length': 53}]"
Stop your scrolling,<Post Cbl53KJuDC7>,526,2,"['ableasyouare', 'ableclothing']",27/03/22,"Stop your scrolling - Jordan Short Sleeve Button Down is now in white. More colors mean more options for you to enjoy that soft linen-like cotton.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",184,"[{'text': 'This shirt is so good', 'length': 21}, {'text': '$85 is way too expensive for a shirt.', 'length': 37}]"
The Bailey is,<Post CbkeAYcOhbh>,1452,14,"['ableasyouare', 'ableclothing']",26/03/22,"The Bailey is a trusty companion. You can count on her to bring you style wherever life takes you.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@prospect.interiors 
#ABLEasyouare #ableclothing",157,"[{'text': 'A trusty denim jacket that looks super similar to this photo is hanging over the edge of my office chair right now! It is true that there is nothing else quite like a classic, like The Merly, to complete almost any outfit.', 'length': 222}, {'text': 'I want to order a jean jacket, but cant decide on what size?  Is the merly more if a loose fit?', 'length': 95}, {'text': 'Best jacket ever!', 'length': 17}, {'text': 'Have it and love it! 🥰', 'length': 22}, {'text': 'it’s been my go to jacket (both lengths) through every season since i got them - so in love!😍', 'length': 93}, {'text': 'It is the softest Jean jacket ever!!!!!', 'length': 39}, {'text': 'Got mine on now! 😍 perfect layer for travel day.', 'length': 48}, {'text': 'When can we expect the black wash to be restocked? I’m desperate for it in a large!', 'length': 83}, {'text': 'Come on, @able , drop it in plus sizes already!!! 🙏🏻🙏🏻🙏🏻', 'length': 56}, {'text': 'So beautiful @prospect.interiors', 'length': 32}]"
Look pretty in,<Post CbiD94SukB6>,1345,9,"['ableasyouare', 'ableclothing']",25/03/22,"Look pretty in pin dot for all your special spring occasions.

#ABLEasyouare #ableclothing",90,"[{'text': 'I LOVE THIS!!😍', 'length': 14}, {'text': 'Love this detail', 'length': 16}, {'text': 'Oh love the cut of this dress!', 'length': 30}, {'text': 'Oh my gosh it’s so lovely!!!', 'length': 28}, {'text': 'So pretty, love the sleeve detail!', 'length': 34}, {'text': 'Anything with dots I love', 'length': 25}, {'text': 'Need it!!!!!!!!!!!', 'length': 18}, {'text': 'Love this so much! But whoa, that sticker shock though 😮', 'length': 56}]"
"""The Ida, Jane,",<Post Cbgy0AlDjLk>,137,1,"['ableasyouare', 'ableclothing']",25/03/22,"""The Ida, Jane, and Nico are some of my favorite dresses of the season because of how versatile and easy they are. I also love working with wearable (and breathable) materials like our linen-like-cotton and the new viscose dobby for the Jane. The fabrics and colors chosen are a great way to add texture and interest to a style."" - Sierra, Wovens and Denim Designer
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",403,"[{'text': 'Chic mood board \nEthic vibes ❤️🔥😍👏', 'length': 34}]"
Jump for joy,<Post CbfWckql_Tg>,926,13,"['ableasyouare', 'ableclothing']",24/03/22,"Jump for joy - our new Charlyn Jumpsuit is here!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",86,"[{'text': 'It’s a cutie!!', 'length': 14}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'OK YES', 'length': 6}, {'text': 'Omg I neeed 😍😍', 'length': 14}, {'text': 'Oh this is gorgeous 🤩🤩', 'length': 22}, {'text': 'This jumper is gorgeous 😍', 'length': 25}, {'text': 'Super cute! 😍', 'length': 13}, {'text': 'This is so cute @graceredmond', 'length': 29}, {'text': '@btwwice this could be you! 🤍', 'length': 29}]"
Behind the scenes,<Post Cbc1J7ZD7Ka>,229,1,"['ableasyouare', 'ableclothing']",23/03/22,"Behind the scenes with @jenhatmaker as she shares a few of her favorite ABLE dresses. All dresses in this collection are chic, effortless, and versatile, while also highlighting Jen’s style love language - sleeves.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",252,"[{'text': 'Id like to date her please! 🙋🏿\u200d♂️', 'length': 33}]"
