,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
The fan-favourite finishing,<Post CbnLyr3LTZq>,286,3,[],27/03/22,"The fan-favourite finishing touch. Complete your set with our Crew Socks—now back in stock in stores and online!

P.S. when you mix-and-match 5 of any of our socks, you save 15%. For every day of the week, or to share—are friendship socks a thing?",247,"[{'text': 'Can confirm - best socks ever', 'length': 29}, {'text': '😍😍', 'length': 2}, {'text': 'Lovely 😍', 'length': 8}]"
We have a,<Post Cbkm0B7LSbJ>,222,2,[],26/03/22,"We have a plastic problem and it’s invaded our wardrobes. The prevalence of synthetic fabrics in clothing—like polyester, spandex and acrylic—is causing millions of microplastic fibres to leech into our waterways with every laundry cycle. 

That’s why we focus on nature’s finest: super-soft, plastic-free, naturally breathable fibres that can biodegrade at the end of their lifecycle. 

Explore our stories to learn more and take action with your own synthetic pieces.",469,"[{'text': '🙌', 'length': 1}, {'text': '@Upparelofficial accept, sort, donate and recycle clothes thereby avoiding an enormous amount of landfill 👏', 'length': 107}]"
"👁: Spring Scenes,",<Post CbiPACnLykW>,424,6,[],25/03/22,"👁: Spring Scenes, Faiyum, Egypt.",32,"[{'text': '😍', 'length': 1}, {'text': '✨', 'length': 1}, {'text': '🤍', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': 'Colour palette inspo 👀', 'length': 22}, {'text': 'Aww the alchemist! ♥️', 'length': 21}]"
From our home,<Post CbfcQdQrVHE>,1184,16,[],24/03/22,"From our home in Egypt, to add warmth and texture to yours. 

👁: The Embroidered Bedspread. Handwoven in Egypt using the ancient craft of the manual loom, and hand-embroidered by a group of women artisans in the Siwa Oasis. Each piece unique, allowing the artistic expression of the artisans to shine through.",309,"[{'text': 'Wow this is gorgeous 😍', 'length': 22}, {'text': '☁️ 🤍', 'length': 4}, {'text': 'Ummm where do I get the bed frame 😍😍💙💙', 'length': 38}, {'text': 'So beautiful 😍', 'length': 14}, {'text': '😍 I love her!!!', 'length': 15}, {'text': '😍', 'length': 1}, {'text': '😍😍😍', 'length': 3}, {'text': 'loveee😍🤍', 'length': 8}, {'text': '😍', 'length': 1}, {'text': '🥰', 'length': 1}, {'text': '😍', 'length': 1}, {'text': 'adore this', 'length': 10}, {'text': 'Loveee the bedspread!', 'length': 21}]"
For you and,<Post Cbc9iVOrUFr>,896,9,[],23/03/22,"For you and yours ❣️

The Mock Neck Tank and the Mock Neck Longsleeve—ready for layering this spring.",101,"[{'text': '❤️❤️', 'length': 4}, {'text': 'He wears it literally everyday', 'length': 30}, {'text': '@brynndolfi I thought this was you and Adam.', 'length': 44}, {'text': '😍', 'length': 1}, {'text': '@lynnaved 😍😍', 'length': 12}, {'text': 'LYNN 😍😍 @lynnaved', 'length': 17}, {'text': 'Check out your dm pls!', 'length': 22}]"
A little warmth,<Post CbaViX-LJZp>,494,5,[],22/03/22,"A little warmth and luxury for your everyday. 

👁: The Wool Blanket—crafted from 100% merino wool with no chemical dyes, only the natural shades of sheep’s wool.",161,"[{'text': 'amogus', 'length': 6}, {'text': 'So good 😍', 'length': 9}, {'text': '❤️', 'length': 2}, {'text': 'Love natural shades 😍\n@siamaqadar', 'length': 33}, {'text': '😍😍😍', 'length': 3}]"
PANTONE 17-1444 TCX:,<Post CbXxsy-L93i>,647,5,[],21/03/22,"PANTONE 17-1444 TCX: Ginger

A flowering plant from the same family as turmeric and cardamon, known for its flavourful and aromatic root. Warm, spicy, and a little sweet—the root is used as a pungent spice and a soothing traditional medicine. 

Meet our version of Ginger, ready to infuse a little warmth into your wardrobe. Available now!",339,"[{'text': 'No wonder ginger, turmeric and cardamom are some of my favourites!', 'length': 66}, {'text': '🧡', 'length': 1}, {'text': 'The third pic is giving Toronto store cash desk vibes', 'length': 53}, {'text': 'Aka my favourite colour 🧡', 'length': 25}]"
You wear it,<Post CbVMnMbLWd9>,679,15,[],20/03/22,You wear it best 💌,18,"[{'text': 'What are the pants in 3rd image?', 'length': 32}, {'text': 'Will you guys be restocking the poet dress/coming out with a dress for summer soon?', 'length': 83}, {'text': '❤️❤️❤️', 'length': 6}, {'text': '🔥', 'length': 1}, {'text': 'Gorgeous', 'length': 8}, {'text': '🤍', 'length': 1}, {'text': '\U0001faa9💛🙏', 'length': 3}, {'text': '@gabriellekaurcheema 🥰🥰🥰', 'length': 24}, {'text': '😍 @gabriellekaurcheema', 'length': 22}, {'text': 'Cutie, loungin ☁️ 🤍 ☕️ @gabriellekaurcheema', 'length': 43}, {'text': '@mahacuevas', 'length': 11}, {'text': 'What a comfy look 😍\nCan also see @siamaqadar', 'length': 44}]"
Presenting the full,<Post CbQVxL8Lwx3>,702,7,[],18/03/22,"Presenting the full stack of this season's Jersey Lounge sets—for sleeping, working, relaxing, and everything in between.
Available now in Black, Capers, and Italian Straw!",172,"[{'text': 'Ordered black but now I’m tempted 👀', 'length': 35}, {'text': '🤩🤩', 'length': 2}, {'text': 'Would love to see some of these 💖super cute💖 and versatile clothes on some other body shapes!', 'length': 93}, {'text': '😍', 'length': 1}, {'text': 'all of these😍😍', 'length': 14}, {'text': 'Okay I’m obsessed with these basics 😍😍', 'length': 38}]"
From now until,<Post CbNnQxKLtJ_>,226,2,[],17/03/22,"From now until Monday, save up to 25% off when you mix-and-match our tried-and-true staples. 

Designed to outlive time and trends, our essentials draw from the philosophy of capsule dressing: effortless, elevated styles, fit for any outfit and any day.

Until Mar 21st, buy 2 essentials and get 20% off, or buy 3+ and get 25% off!* Full list and details through the link in our bio.",383,"[{'text': '❤️\u200d🔥❤️\u200d🔥', 'length': 8}, {'text': 'Sustainable AND a good deal 😍', 'length': 29}]"
Spring cleaning doesn’t,<Post CbK154HL90I>,288,3,[],16/03/22,"Spring cleaning doesn’t have to dirty the planet. Here’s our guide to freshening up for the season, waste-free. Explore more tips at kotn.com/editorials

👁: Large Soap by Roxy Paine, 1993",187,"[{'text': 'Great tips! 🙌😍', 'length': 14}, {'text': 'Love this !! 🙌🧼🧹', 'length': 16}, {'text': 'The digital cleanse is a great reminder. 😶', 'length': 42}]"
Styling 101: The,<Post CbIq0kwp3S_>,378,3,[],15/03/22,"Styling 101: The White Tee. Crafted from 100% long-staple Egyptian cotton, explore our stories for six ways our community styles the understated closet classic. 

@oumaymabtanfous photographed by @estellem_____, wearing the Relaxed Crew in White.",246,"[{'text': 'My kinda fit 🤎😭', 'length': 15}, {'text': 'The fit 🤍🤌🏽', 'length': 11}, {'text': '🔥🔥\n@siamaqadar', 'length': 14}]"
The Ribbed Lounge,<Post CbFre01ryhO>,896,19,[],14/03/22,"The Ribbed Lounge collection—timeless styles ethically crafted in Egypt from our luxe Egyptian cotton thick-wale rib. 

It’s comfort you’ll never want to take off, designed so you never have to.",194,"[{'text': 'Comfiest set ☺️', 'length': 15}, {'text': 'I wish these still had a proper hem at the ankles, instead of just a raw edge', 'length': 77}, {'text': '😍', 'length': 1}, {'text': 'Need 😍', 'length': 6}, {'text': 'soo cosy 😍😍', 'length': 11}, {'text': 'So good!!', 'length': 9}, {'text': 'Ahhh the color 😌🧡✨', 'length': 18}, {'text': 'Love🤍', 'length': 5}, {'text': '😍😍😍', 'length': 3}, {'text': 'Love This set😍😍', 'length': 15}, {'text': 'This set is beautiful love it 🤍', 'length': 31}, {'text': 'We need this!', 'length': 13}, {'text': 'Nice! 😍', 'length': 7}, {'text': 'Gorgeous set wow 😍', 'length': 18}, {'text': '😍😍😍', 'length': 3}, {'text': 'Love😍', 'length': 5}, {'text': 'LOVE 😍😍😍', 'length': 8}, {'text': '💛', 'length': 1}]"
Swipe to see,<Post CbAqDt8rJ89>,155,3,[],12/03/22,"Swipe to see what makes our cotton jersey so special. Feel it for yourself in our lounge collection, available now!",115,"[{'text': '🙌', 'length': 1}, {'text': 'Looks so cosy 💚🌱', 'length': 16}, {'text': 'Obsessed😍', 'length': 9}]"
“The most important,<Post Ca-FEhnLtOj>,364,5,[],11/03/22,"“The most important thing for me about clothes, objects, furniture, basically everything, is quality. I’m obsessed with textiles and how they’re made.” 

👁: Toronto-based writer, artist, and educator, @anna_daliza, right at home with our Ribbed Lounge Set and Egyptian cotton bedding. Shop our newest lounge and bedding collections, plus explore our feature on Anna, at kotn.com!",379,"[{'text': '👏', 'length': 1}, {'text': 'so good!!!', 'length': 10}, {'text': 'Those ribbed pants tho 😍', 'length': 24}, {'text': 'Those pants and top😍\nCan also try @siamaqadar', 'length': 45}]"
We asked our,<Post Ca738s8l5vo>,437,17,[],10/03/22,"We asked our very own Brand Collaborations Manager @patricksilverio_ to share some of the things that are piquing his interest for this month’s Top 10—a round-up of things our team and community are currently loving and learning from.

Visit kotn.com/editorials or check out our stories to see his current top picks!",316,"[{'text': '👑 👑 👑', 'length': 5}, {'text': '🤝🤝🤝', 'length': 3}, {'text': '🗣🗣🗣', 'length': 3}, {'text': '🤩🤩', 'length': 2}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'hi romeo 👋', 'length': 10}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'So pogi', 'length': 7}, {'text': 'Patrickkkkk', 'length': 11}, {'text': 'Romeo 🥺🌹', 'length': 8}, {'text': 'Romeo 🥺💕', 'length': 8}, {'text': '🔥🔥🔥🔥', 'length': 4}, {'text': 'Waiting on the eventual jjjound collab', 'length': 38}, {'text': '🥲 Romeo', 'length': 7}, {'text': 'Love this!!', 'length': 11}]"
Pantone 18-0820 TCX:,<Post Ca7iFVyr3KZ>,277,7,[],10/03/22,"Pantone 18-0820 TCX: Capers

Native to the Mediterranean coast, the caper plant features round, fleshy leaves and large white flowers, born from its famous edible buds. Those dark olive buds are usually salted or pickled and used as a flavourful garnish in Mediterranean cuisine. 

Meet our version of caper, fully bloomed in our Lounge collection. Available now!",363,"[{'text': 'Love this colour 😍', 'length': 18}, {'text': 'Ooooooaaah', 'length': 10}, {'text': 'Loving the caper colour 😍', 'length': 25}, {'text': 'So good🔥', 'length': 8}, {'text': 'Salty 🧂', 'length': 7}, {'text': 'Want🤎', 'length': 5}, {'text': '😍😍😍', 'length': 3}]"
New lounge styles,<Post CaxLQELrCFw>,414,4,[],06/03/22,"New lounge styles have arrived for you to unwind in style. 

Crafted from our 100% Egyptian cotton jersey with no added synthetics—it's as soft on your skin as it is on the planet.",180,"[{'text': '😍', 'length': 1}, {'text': '😍😍😍', 'length': 3}, {'text': 'Excellent', 'length': 9}, {'text': 'They look super comfy!', 'length': 22}]"
Our best-selling bedding,<Post CaumPjQLcGy>,983,12,[],05/03/22,Our best-selling bedding is back in stock—don't sleep on it. Fitted Sheets and Pillowcases now available separately so you can craft your own dream set.,152,"[{'text': 'Hi! I love the bedding but I also want to know where to find that lamp. What’s the brand?', 'length': 89}, {'text': 'I love your stuff so much! But can we please iron the bedsheets a little .. It always drives me crazy 😜', 'length': 103}, {'text': '🙌 will check it out! Love KOTN too! ❤️🔥', 'length': 39}, {'text': 'YES! Finally, ala carte pillow cases! 😍', 'length': 39}, {'text': 'Looks so comfy 🤍', 'length': 16}, {'text': 'do you know when the sheet set in Seagrass will be restocked?', 'length': 61}]"
