,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
For our Dutch,<Post Ca4kl9bIbvQ>,53,10,"['jointhepact', 'linkinbio', 'creativity', 'impact', 'inspire', 'connection', 'pumaacademy', 'pactproject']",09/03/22,"For our Dutch speaking members: what are you doing at the end of this month? Treat yourself and join the PUMA Academy. It’s a day with free masterclasses, all about female empowerment. Come by and enter a safe space to inspire and support each other 💙🫂. Join at pumaacademy.nl
*
* * #jointhepact
  #linkinbio #creativity #Impact #inspire #connection #pumaacademy #pactproject",375,"[{'text': '💙🔥', 'length': 2}, {'text': 'Zin in!!!', 'length': 9}, {'text': '🙌', 'length': 1}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '🔥', 'length': 1}, {'text': '@enomavera', 'length': 10}, {'text': 'Looking forward to give the talk! 🤩', 'length': 35}, {'text': 'Yess 🔥 zóveel zin in!', 'length': 21}]"
💙🌎🦋TAG YOUR GIRL!,<Post Ca2arbiIgHF>,-1,0,"['jointhepact', 'giveaway', 'tagyourgirl', 'checkitout', 'womensday', 'internationalwomenday', 'iwd', 'share', 'whodoyouwannacelebrate']",08/03/22,"💙🌎🦋TAG YOUR GIRL! This day is the perfect day to surprise your mom, best friend, sweet colleague or girlfriend. You might win her one of the following goodies!
⁃Aesop Hand wash @aesopskincare 
⁃ @easytoys : this is an incredible First. Self-Love (S)Experience Starter Set. For some next level sensual self-loving.
⁃We Should All be Feminists by @chimamanda_adichie 

What to do?
Comment her in the comments (or the ones from our previous reels) & follow us on IG! 👇
*
*
*
#jointhepact
#giveaway #tagyourgirl #checkitout #womensday #internationalwomenday #IWD  #share #whodoyouwannacelebrate",590,None
✊🏿✊🏽✊🏼✊🏾Here’s a little,<Post Ca2O62YoiCD>,-1,1,[],08/03/22,"✊🏿✊🏽✊🏼✊🏾Here’s a little something about the history of International Women’s Day!

We believe this day can be an opportunity to celebrate women’s achievements from all over the world. It is also important, however, to acknowledge the ongoing political, social, economic and cultural challenges that women still have to face (For example: only 6 countries give women equal legal work rights as men.)

These are of course ongoing issues that can not be solved in a single day. So we would like to continue this mindset for the entire year (and for all of eternity for that matter) to keep encouraging each other to fight for gender equality and to empower women and girls everywhere.",681,"[{'text': '❤️❤️❤️', 'length': 6}]"
🙆🏽‍♀️🙆🏿‍♀️🙆‍♀️TAG YOUR GIRL!,<Post Ca2Hg1WoihE>,19,49,[],08/03/22,"🙆🏽‍♀️🙆🏿‍♀️🙆‍♀️TAG YOUR GIRL! This day is the perfect day to surprise your mom, best friend, sweet colleague or girlfriend. You might win her one of the following goodies!
⁃ Aesop Hand wash @aesopskincare 🧴
⁃ @easytoys this is an incredible First. Self-Love (S)Experience Starter Set. For some next level sensual self-loving. 🍑🥵
⁃We Should All be Feminists by @chimamanda_adichie 📖

What to do?
Comment her in the comments & follow us on IG! (Winners will be announced next week)",478,"[{'text': '@saidaragas', 'length': 11}, {'text': '@lianaboyadjian 💖', 'length': 17}, {'text': '🤩🤩🤩', 'length': 3}, {'text': '@joyfullkittens 👀💞', 'length': 18}, {'text': '@zeldavanbeijnum', 'length': 16}, {'text': '@isabelsijbrandij 💜', 'length': 19}, {'text': '@linomuyres 🥰', 'length': 13}, {'text': '@naomifranka 🧚\u200d♀️', 'length': 17}, {'text': '@amymaxime 🤍', 'length': 12}, {'text': '@misha.ragas', 'length': 12}, {'text': '@yadehendriks ✨', 'length': 15}, {'text': '@lllllllllauuu ❤️', 'length': 17}, {'text': '@robin.zoe i celebrate you 🍾❤️\u200d🔥', 'length': 32}, {'text': '@melanie_kultandace 💯', 'length': 21}, {'text': '@kroesefabienne Een mooie baan en alleen een mooie dochter opvoeden … respect! We zijn al meer dan 20 jaar vriendinnen (en je hebt me nog niet gecanceld ;)). Ik vind het celebrate Fab day! ❤️', 'length': 191}, {'text': 'Myself @lal_pr cause I need some TLC ❤️✔️', 'length': 41}, {'text': '@mariekevanweelden 🧚🏻\u200d♀️ Because you weekly drive 4 hours to babysit our kid 🙏🏼 On top of a fulltime job and a study 🤯', 'length': 118}, {'text': '@_s_h_a_n_n_o_n_96 Prachtig en sterk❤️', 'length': 38}, {'text': '@roachelina you know why 😍 en @lopaola you also know why 😍 and my mom ❤️\u200d🔥', 'length': 74}, {'text': '@lekkergaanmetlo ❤️', 'length': 19}, {'text': '@marzazou the best! 😍', 'length': 21}]"
💙What are you,<Post CaroaZ1NsAP>,-1,4,"['jointhepact', 'membernews', 'jointhepact', 'linkinbio', 'creativity', 'impact', 'inspire', 'connection', 'barbario', 'lizalo', 'newtunes', 'ep', 'exhibition']",04/03/22,"💙What are you up to this weekend? Our member @lizalo__ is hosting an exhibition and pop-up in creative hub @bar.bario this weekend. She invites local songwriters to discuss their creative process on Saturday. Alongside this you will find photographs by @rogiervaneck_ & art by @coconut_tam . Come by and hang out!
*
*
*
#jointhepact
#membernews #jointhepact #linkinbio #creativity #Impact #inspire #connection #barbario #lizalo #newtunes #EP #exhibition",453,"[{'text': 'Send it on @netherlands_fams🔥🔥', 'length': 30}, {'text': '❤️🔥', 'length': 3}, {'text': '❤️', 'length': 2}]"
Our newest PACT,<Post CamKd8eIJuh>,7,0,"['jointhepact', 'linkinbio', 'pactletter', 'volume3', 'stayintheknow', 'impact', 'connection', 'inspirational', 'creativity']",02/03/22,"Our newest PACT letter is out! A must read to stay in the know about our latest news, projects(@puma) and members. This one includes a very special giveaway… Join the PACT now to receive your monthly letter. (link in bio)
*
*
*
#jointhepact
#linkinbio #PACTletter #volume3 #stayintheknow ##impact #connection #inspirational #creativity",335,None
🥁Today is the,<Post CakCw-aoDsq>,18,6,"['jointhepact', 'membernews', 'popronde2022', 'musicfestival', 'connecting', 'impact', 'raiseyourvoice', 'pactcollective', 'inspiration', 'community']",01/03/22,"🥁Today is the very last day to apply for 𝐏𝐨𝐩𝐫𝐨𝐧𝐝𝐞 𝟐𝟎𝟐𝟐! @popronde is the biggest traveling music festival in the Netherlands, that supports and represents the next generation pop musicians. Our member @joaodegroot is part of the organization & programming team:

""We try to give an accurate representation of what's happening in the Dutch live music scene, taking the definition of pop music as broad as possible. Hiphop, metal and even neo-classical acts deserve a spot in our yearly selection. Participation leads to more experience on stage and it will boost your network.""

So… do you have enough material to give a live performance of at least 30 minutes? And would you like to be a part of this crazy ride? Check their website and get on board!

🎥: Mees van Keeken
🎵: @youngrubbi - Verdrinken in het zwembad
*
*
*
*
#jointhepact
#membernews #popronde2022 #musicfestival #connecting #impact #raiseyourvoice  #pactcollective #inspiration #community",952,"[{'text': '❤️😈', 'length': 3}, {'text': '🔥🔥', 'length': 2}, {'text': '🔥🔥', 'length': 2}, {'text': 'Sick!', 'length': 5}]"
Our Impact Session:,<Post CafRO5ZoA4T>,-1,2,"['jointhepact', 'impactsession', 'latenightsessions', 'inspiring', 'connecting', 'impact', 'raiseyourvoice', 'speakyourmind', 'pactcollective', 'inspiration', 'community']",27/02/22,"Our Impact Session: a night full of vocal thinkers, cultural dilemmas and Yakitori sticks! We’re hosting another one soon… 
Join our PACT now!

📸 by @by.robinzoe 
guests: @ronsimpson @awuraabena @cruelwilll @berthagendoorn @jasper.djosa 

*
*
*
#jointhepact
#impactsession #latenightsessions #inspiring #connecting #impact #raiseyourvoice #speakyourmind #pactcollective #inspiration #community",393,"[{'text': 'Promote it on @nycfames', 'length': 23}, {'text': 'Promote it on @nycfames', 'length': 23}]"
✨PACT’S IMPACT session,<Post CaaEO8WI3pX>,72,13,"['jointhepact', 'impactsession', 'latenightsessions', 'inspiring', 'connecting', 'impact', 'raiseyourvoice', 'speakyourmind', 'pactcollective', 'inspiration', 'community']",25/02/22,"✨PACT’S IMPACT session was a huge success. People from different disciplines were speaking from their point of view and that’s where it gets interesting. You can join our creative community too! Link in bio 🧡

vid by @by.robinzoe 
guests: @ronsimpson @awuraabena @cruelwilll @berthagendoorn @jasper.djosa 

*
*
*
#jointhepact
#impactsession #latenightsessions #inspiring #connecting #impact #raiseyourvoice #speakyourmind #pactcollective #inspiration #community",461,"[{'text': '🔥🔥🔥', 'length': 3}, {'text': 'Send it on @netherlands_fams🔥🔥', 'length': 30}, {'text': '🖤🔥', 'length': 2}, {'text': '💙💜💙💜', 'length': 4}, {'text': '😍', 'length': 1}, {'text': '🔥🔥', 'length': 2}, {'text': 'Yassss!! 🤗', 'length': 10}]"
For our Impact,<Post CaUMh8RIXLJ>,-1,11,"['jointhepact', 'impactsession', 'latenightsessions', 'inspiring', 'connecting', 'impact', 'raiseyourvoice', 'speakyourmind', 'pactcollective', 'inspiration', 'community']",23/02/22,"For our Impact Session we invited culture shapers and opinionated gamechangers to have an open conversation about what it means to make an impact. It turned out to be an invigorating and inspiring evening. Are you also ready to make an impact? Join the pact.

📷pics by @robin.zoe 

*
*
*
#jointhepact
#impactsession #latenightsessions #inspiring #connecting #impact #raiseyourvoice #speakyourmind #pactcollective #inspiration #community",436,"[{'text': '🖤🔥', 'length': 2}, {'text': '🔥', 'length': 1}, {'text': '🔥🤝', 'length': 2}, {'text': 'so inspiring👏', 'length': 13}, {'text': '🙌', 'length': 1}, {'text': '❤️', 'length': 2}]"
